zone	easting	northing	name
16T	431514.49	5190854.26	tsca63518.8
16T	431354.22	5190815.09	acsa37518.9
16T	431316	5190864.15	tsca6119.1
16T	431481.35	5190857.06	tsca39519.1
16T	431501.89	5190877.41	tsca69319.1
16T	431529.82	5190883.68	belu55319.1
16T	431317.78	5190838.75	tsca26219.2
16T	431328.93	5190819.52	tsca24219.2
16T	431362.09	5190851.35	tsca29819.2
16T	431391.09	5190799.72	tsca44819.2
16T	431478.17	5190914.39	tsca61719.2
16T	431375.09	5190805.1	acsa46119.3
16T	431402.7	5190793.34	tsca49419.4
16T	431433.58	5190905.24	tsca40619.4
16T	431486.33	5190868.46	tsca53519.4
16T	431493.79	5190862.85	tsca54419.4
16T	431504.76	5190830.35	tsca58919.4
16T	431359.38	5190810.56	tsca36419.5
16T	431472.35	5190816.45	tsca35319.5
16T	431494.14	5190858.58	tsca52919.5
16T	431502.2	5190822.55	tsca59419.5
16T	431507.97	5190900.41	tsca70719.5
16T	431327.91	5190857.86	tsca27119.6
16T	431402.54	5190797.52	tsca49019.6
16T	431498.11	5190825.17	tsca59819.6
16T	431529.75	5190883.95	tsca55419.6
16T	431377.95	5190862.48	abba51719.7
16T	431483.45	5190871.05	tsca56619.7
16T	431352.13	5190779.56	acsa31919.8
16T	431393.93	5190787.5	acsa46719.8
16T	431391.28	5190901.97	tsca81019.8
16T	431505.8	5190831.79	tsca58819.8
16T	431337.98	5190796.1	acsa23719.9
16T	431453.89	5190852.36	tsca30819.9
16T	431511.41	5190897.88	acsa58019.9
16T	431345.11	5190829.06	tsca38420
16T	431447.65	5190822.8	tsca40820
16T	431452.22	5190811.09	acsa29220
16T	431452.04	5190911.75	tsca56920
16T	431498	5190862.79	tsca52520
16T	431513.77	5190867.74	belu65120
16T	431352.77	5190803.76	acsa23320.1
16T	431372.05	5190772.75	acsa32520.1
16T	431385.2	5190866.81	acsa51920.1
16T	431416.98	5190824.82	acsa27120.1
16T	431477.57	5190898.28	tsca58920.1
16T	431513.66	5190907.96	tsca55920.1
16T	431520.73	5190939.99	tsca64220.1
16T	431517.67	5190956.06	tsca69320.1
16T	431455.77	5190864.07	tsca31020.2
16T	431323.03	5190873.47	tsca3820.3
16T	431425.58	5190883.35	tsca44920.3
16T	431502.12	5190944.78	tsca62520.3
16T	431386.55	5190784.46	tsca48020.4
16T	431499.66	5190824.03	tsca59620.4
16T	431471.47	5190876.66	tsca93120.5
16T	431512.31	5190867.94	tsca65420.5
16T	431479.11	5190841.46	abba38520.7
16T	431473.52	5190827.99	tsca37820.7
16T	431484.23	5190933.31	acsa75520.7
16T	431511.82	5190863.84	tsca65520.7
16T	431534.39	5190860.04	tsca51520.7
16T	431539.44	5190913.16	tsca69520.7
16T	431326.1	5190826.14	tsca26120.8
16T	431409.3	5190840.95	tiam56520.8
16T	431441.41	5190879.04	tsca49520.8
16T	431482.21	5190870.46	tsca56520.8
16T	431494.39	5190949.37	tsca61620.8
16T	431350.11	5190885.99	osvi6821
16T	431413.86	5190845.58	acsa56421.1
16T	431455.98	5190909.07	tsca95821.1
16T	431510.46	5190856.97	tsca62821.1
16T	431496.64	5190945.13	tsca61421.1
16T	431338.55	5190852.66	belu29421.2
16T	431362.55	5190813.75	tsca36821.2
16T	431404.98	5190818.29	acsa50621.2
16T	431500.45	5190865.16	tsca52221.2
16T	431516.24	5190920.57	tsca58321.2
16T	431505.87	5190826.82	acsa59021.3
16T	431502.5	5190901.62	tsca71421.3
16T	431374.19	5190804.65	acsa35121.5
16T	431444.69	5190893.93	tsca47121.5
16T	431463.25	5190904.38	tiam95521.5
16T	431465.38	5190892.3	tsca93921.5
